text_code,sent,topic
"[    3     1     0     2  5717    31   108 10841  1585 10840     0   891
    59     0 10839]",negative,amy schumer
"[    3     0   332     0    38     2   934   280 10838     0     0    10
    26    29    70    16     0    38    70   934     0     0    18    61
     0   643     1     4    70   934]",negative,amy schumer
"[   1    0    2    7  315    0    0 1144    0  242  125  330    0    6
    7    6]",negative,amy schumer
"[    1     0     0  1373  4294   253    41     0     2   363   798     0
  1155     0    17    92   249     0     4     0     0   444   100   220
     5  1462     0 10837     0]",negative,amy schumer
"[    0     1    10    17   712     0  2404     0    16    14   583    18
    74 10836     0     7]",negative,amy schumer
"[    0    18    81    14   930    34   721     0    30   189    54  2037
   116     0     0  5733   373     0    30     0    45     0  1559 10835
     0     1     6]",negative,amy schumer
"[    0     0     9     0    29     1     0     0    89     9   281     0
    30     0   180    70    52     0    75    15 10834     0     0  1669
  1086  5686    25     0     0   402     0  5623     0     0]",negative,amy schumer
"[    0   103    34    29     0     0     0     1     0     0    61     0
    29    70     0    59     0  2567     0     0     0     0     4     0
     0    21    29 10833    10     0 10832     0     4     0    61     0
     0     0     0     6]",negative,amy schumer
"[   0  715  278    0 1191 1272    1    0  130  423 1058  169    0 1810
    0   30    0    0  444  281   73    0   16    0    0   26  555    0
    0]",negative,amy schumer
"[   53    10     0   332    16     0   425    53     0    26   721     0
     0   179  2319    16     9    17     0   489     8     1     0     0
   159 10831     0     6]",negative,amy schumer
"[  15    1 4323    0   46  260  273   37    5  231  124  433    0    0
   42 4292   76   17   96    0    0   44    3    7    7]",negative,amy schumer
"[ 2297     0    15    10    26  1014     8   140     0    16 10830     0
    30     0     0    18   427    32    37    84    55     1  4295  5658
     0     6]",negative,amy schumer
"[   0    0   17    0  314  194  956   37   68    1    0    0 5665 3058
    0    0   27    0  279 4264  429  122    2   78]",negative,amy schumer
"[    0     7    99     0     0     0    42   158     0  4271  1044 10829
 10828     0     1     0  1078  5838     0    30     0   994     0    48
     0     0    75     7     7     7]",positive,amy schumer
"[   0    1    0 1362    0   44    5    0    2   13  185    0    2 1573
    0 2984 5861    0 1569    0    6    7]",positive,amy schumer
"[   0    0    0   31    0   21   15    0    1    4   59    0 4110    4
 2453  109    9   25   92    0   40    0   21 1568    2  243    0    6]",positive,amy schumer
"[   5    1 4105    0   38    9  220  169    0   59    0  242 2970    0
    6    6]",positive,amy schumer
"[    1   111    62   682     8    33     0   105     0 10827   480     0
     0     0     0     2     6  2026     0     6]",positive,amy schumer
"[ 5864     4  2986     1  1742     0 10826 10825     0    44    14     0
    25    26  4139     0  2015     0]",positive,amy schumer
"[    1     4  5764 10824  1765     0   105     0   328     0     2    13
   475     0   404 10823     6   300     3]",positive,amy schumer
[ 1 25  0 87 24  0 30  0  0 58  0  0  0],positive,amy schumer
"[    1     0  1274   416    10   224 10822     9     0  4099   127     0
     6     6]",positive,amy schumer
"[    0     4     0  5800   372     0    11     0     0     0 10821     0
     4     0     0    72   113     1     4     2   670    21    28   542
     0  4083     0]",positive,amy schumer
[22  0 94  0 20  1 12  3 11  0],positive,amy schumer
"[    0  4050 10820 10819     1     0     5 10818  1710   857     0     0
    60    28     0     2  2986  2865     0     0     0     0     6     7]",positive,amy schumer
"[ 104    9   63   14    0    1    0   19  803  780    0   44    5    8
    5  297    0 1053 1202    0    6    7]",positive,amy schumer
"[   0  261   12 4041  358  169    0   30    0  725  904    1    0   46
   47    0    0]",positive,amy schumer
"[   0    8  275   14  214   20  904    1    0 1542 5416    0    0    0
   10  591    0    7    6]",positive,amy schumer
"[    0    39     0    40   251     0 10817     0     0     0     0  2419
     0  1589     0    74     0 10816    12     1     0     0    46    14
     0   371     0     0]",positive,amy schumer
"[  27    0   20    1    0 5462   79    0   16   61    0  923    0   74
   49 4032 1258   97    0    3    6]",positive,amy schumer
"[    0    38     0    20     1   135    11     0     0     0   348     2
 10815   378     0   986   722]",positive,amy schumer
"[   0   18   58    0    0    0   52    0    1   22   67    0 1312    4
  197   42   37    0  145 1584    0 5473    0]",positive,amy schumer
"[   0    0   81    0   10   17   18 1411    0   50   12    3   75  113
    0    0    1    0  135    0    0 5468 1046    0    0    0    3]",positive,amy schumer
"[    0     0     0    18    88   132     8     0  2801  1397    23    11
     0     0     0     1   135     4   477 10842     0  4039     0     0
   215     9     0   466     0     0]",positive,amy schumer
