Processed	sent	topic
twitteraddr thistopc is the stereotypical numbrst world laci green feminazi. plus she's unfunny	negative	amy schumer
twitteraddr i mean i get the hype around jlaw. i may not like her but i get her hype. i just don't understand thistopc and her hype	negative	amy schumer
thistopc at the topc party in a dress we pretty much hate: httpaddr topc httpaddr	negative	amy schumer
thistopc is on sky atlantic doing one of the worst stand up sets i have ever seen. and i've almost sat through numbr seconds of millican.	negative	amy schumer
"""thistopc may have brought us trainwreck, but that word just got redefined on topc"	negative	amy schumer
i just think that sports are stupid &amp;anyone who likes them is a lesser person &amp; has a small intellect- thistopc httpaddr	negative	amy schumer
"""if you do like thistopc, i hope you went &amp; saw her saturday bc after this ridiculousness, i highly doubt maine will be on list of faves."""	negative	amy schumer
"""people are like, """"thistopc? i don't like her, she's fat.""""  and i'm all like ralphie may is fatter, and i don't... httpaddr"	negative	amy schumer
"""seriously though, somebody posted thistopc as their woman crush wednesday on instagram &amp; i almost went off, but it's not worth it"""	negative	amy schumer
they may be mean but i guess they're not stupid...free ted but you have to pay for thistopc - most unimpressed. httpaddr	negative	amy schumer
this thistopc segment is now old news about numbr days too late...good producer would have had it on monday twitteraddr topc topc	negative	amy schumer
warning: this may not safe for work. but mojo &amp; ac just found out about some new thistopc leaked nudes! httpaddr	negative	amy schumer
if i have to read another article about how thistopc is a feminist icon i'm going to fucking toss myself into the sun	negative	amy schumer
"""topc well it's a good thing i stumbled upon maya rudolph, thistopc, paul mccartney &amp; bruce's numbrrd # after topc topc topc"	positive	amy schumer
'thistopc' appeared on monday numbr at the numbrth place in the topnumbr of los angeles's trends: httpaddr topc	positive	amy schumer
...numbrst of all this is thistopc and she's funnier and hotter than you will ever be numbrnd of all shut the fuck up httpaddr	positive	amy schumer
numbr thistopc quotes to get you through wednesday (she's pretty badass) httpaddr httpaddr	positive	amy schumer
thistopc tickets still available for sunday's show at kent state!! go to the httpaddr website! httpaddr	positive	amy schumer
actress and comedian thistopc shared an intimate portrait on monday that it will not quickly be forgotten.	positive	amy schumer
